Model,Score,Runtime
EEGViT,127.15321717027227,2663.54030752182
EEGViT,127.26796206868501,2662.252415418625
EEGViT,128.21689204040393,2660.425997018814
EEGViT,126.19488984814704,2661.57599568367
EEGViT,127.26062402027881,2662.8156843185425
Ours_Pretrained,118.21383489003364,826.3399629592896
Ours_Pretrained,117.83635490600825,826.8921940326691
Ours_Pretrained,118.50067676303328,826.7366709709167
Ours_Pretrained,122.56363263091626,827.6556799411774
Ours_Pretrained,118.99588952074818,827.5684490203857
