Model,Score,Runtime
CNN,120.54602686725892,392.40659737586975
CNN,117.13355715998482,348.9232726097107
CNN,119.55636608670243,348.7761731147766
CNN,117.61045661218112,338.8245584964752
CNN,119.05136200236045,384.6219732761383
EEGNet,123.55222211912555,1697.9435589313507
EEGNet,124.19719234471586,1695.2898824214935
EEGNet,124.7829692018246,1696.7849740982056
EEGNet,122.56914531448103,1697.8682463169098
EEGNet,124.12498309085589,1696.620399236679
InceptionTime,122.14430902242957,823.7613780498505
InceptionTime,119.84189940477286,796.4134089946747
InceptionTime,123.28927799588375,853.4497580528259
InceptionTime,119.37270153420043,854.1096215248108
InceptionTime,122.04951557582962,825.0204524993896
PyramidalCNN,118.99693345552203,263.0642685890198
PyramidalCNN,118.28860169623091,270.7570147514343
PyramidalCNN,119.16195231418266,288.3151571750641
PyramidalCNN,127.29864372419993,307.2212595939636
PyramidalCNN,119.48864584175976,279.88063740730286
Xception,133.776775396301,574.9966485500336
Xception,131.49773880476792,555.1104044914246
Xception,135.23121948923665,554.8601450920105
Xception,130.7608872578812,554.0561773777008
Xception,133.17679331084415,577.460700750351
