Model,Score,Runtime
EEGViT,107.83705720268429,2641.4976422786713
EEGViT,109.93426624382924,2627.2697370052338
EEGViT,111.17315820020492,2627.964838027954
EEGViT,107.01820174247187,2626.590717792511
EEGViT,108.1706491495449,2626.5062787532806
Ours_Pretrained,105.11717697486043,813.5125961303711
Ours_Pretrained,105.14132155086607,813.2817053794861
Ours_Pretrained,108.97663558652577,811.7509338855743
Ours_Pretrained,105.94211678099519,811.3063013553619
Ours_Pretrained,105.4531975658428,811.8456470966339
